2a01:111:f100:1004::4134:f0c8/128,whitelist,office365,common
2a01:111:f100:2000::a83e:3349/128,whitelist,office365,common
2a01:111:f100:2002::8975:2c33/128,whitelist,office365,common
2a01:111:f100:2002::8975:2cbc/128,whitelist,office365,common
2a01:111:f100:2002::8975:2d11/128,whitelist,office365,common
2a01:111:f100:2002::8975:2d43/128,whitelist,office365,common
2a01:111:f100:2002::8975:2d79/128,whitelist,office365,common
2a01:111:f100:2002::8975:2d92/128,whitelist,office365,common
2a01:111:f100:2002::8975:2d98/128,whitelist,office365,common
2a01:111:f100:2002::8975:2da8/128,whitelist,office365,common
2a01:111:f100:3000::a83e:1a8c/128,whitelist,office365,common
2a01:111:f100:3002::8987:320c/128,whitelist,office365,common
2a01:111:f100:3002::8987:342a/128,whitelist,office365,common
2a01:111:f100:3002::8987:3552/128,whitelist,office365,common
2a01:111:f100:3002::8987:358e/128,whitelist,office365,common
2a01:111:f100:4001::4625:609b/128,whitelist,office365,common
2a01:111:f100:4001::4625:61ea/128,whitelist,office365,common
2a01:111:f100:4001::4625:a065/128,whitelist,office365,common
2a01:111:f100:4001::4625:a1e3/128,whitelist,office365,common
2a01:111:f100:4001::4625:a248/128,whitelist,office365,common
2a01:111:f100:4001::4625:a4b4/128,whitelist,office365,common
2a01:111:f100:4002::9d37:c021/128,whitelist,office365,common
2a01:111:f100:4002::9d37:c08f/128,whitelist,office365,common
2a01:111:f100:4002::9d37:c11a/128,whitelist,office365,common
2a01:111:f100:6000::4134:a2af/128,whitelist,office365,common
2a01:111:f100:6000::4134:a591/128,whitelist,office365,common
2a01:111:f100:6000::4134:b0ba/128,whitelist,office365,common
2a01:111:f100:6000::4134:b84b/128,whitelist,office365,common
2a01:111:f100:7000::6fdd:50bb/128,whitelist,office365,common
2a01:111:f100:7000::6fdd:568a/128,whitelist,office365,common
2a01:111:f100:7000::6fdd:6095/128,whitelist,office365,common
2a01:111:f100:7000::6fdd:682b/128,whitelist,office365,common
2a01:111:f100:7000::6fdd:699d/128,whitelist,office365,common
2a01:111:f100:7000::6fdd:6b20/128,whitelist,office365,common
2a01:111:f100:7000::6fdd:6b76/128,whitelist,office365,common
